### The error may involve cn.com.alasky.mapper.master.admin.PersonalDataMapper.queryPersonalData-Inline
### The error occurred while setting parameters
### SQL: SELECT n.university_name AS university, m.academy_name AS academy, m.major_name AS major, s.stu_name AS name, s.stu_id AS stu_id, s.stu_grade AS grade FROM `user` u INNER JOIN student_info s ON u.stu_uuid=s.stu_uuid INNER JOIN major_info m ON s.major_uuid=m.major_uuid INNER JOIN university n ON s.university_code=n.id_code WHERE u.phone_number=?
### Cause: java.sql.SQLSyntaxErrorException: Unknown column 'm.academy_name' in 'field list'
; bad SQL grammar []; nested exception is java.sql.SQLSyntaxErrorException: Unknown column 'm.academy_name' in 'field list'
2020-02-21 21:13:27 INFO  cn.com.alasky.controller.LoginController 83 logout - 22233334444 退出登录
2020-02-21 21:13:28 INFO  cn.com.alasky.controller.LoginController 57 checkLogin - IP: 127.0.0.1 设备信息: [ Windows NT 10.0; Win64; x64 ]
2020-02-21 21:13:28 INFO  cn.com.alasky.controller.admin.UserDataController 36 getUserData - 查看用户信息: IP: 127.0.0.1 设备信息: [ Windows NT 10.0; Win64; x64 ]
2020-02-21 22:03:12 INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 208 shutdown - Shutting down ExecutorService 'applicationTaskExecutor'
2020-02-21 22:03:12 INFO  com.zaxxer.hikari.HikariDataSource 350 close - HikariPool-1 - Shutdown initiated...
2020-02-21 22:03:12 INFO  com.zaxxer.hikari.HikariDataSource 352 close - HikariPool-1 - Shutdown completed.
